"rxnID"	"name"	"specie"	"id"	"type"	"MetaID"	"note"
"r_1021"	"succinate[m]"	"s54"	"sa54"	"reactant"	"CDMT000054"	"base"
"r_1021"	"ubiquinone-6[m]"	"s55"	"sa55"	"reactant"	"CDMT000055"	""
"r_1021"	"fumarate[m]"	"s40"	"sa40"	"product"	"CDMT000040"	"base"
"r_1021"	"ubiquinol-6[m]"	"s56"	"sa56"	"product"	"CDMT000056"	""
"r_1022"	"succinyl-CoA[m]"	"s52"	"sa52"	"reactant"	"CDMT000052"	"base"
"r_1022"	"succinate[m]"	"s54"	"sa54"	"product"	"CDMT000054"	"base"
"r_2131"	"isocitrate[m]"	"s32"	"sa32"	"reactant"	"CDMT000032"	"base"
"r_2131"	"2-oxoglutarate[m]"	"s44"	"sa44"	"product"	"CDMT000044"	"base"
"r_2305"	"cis-aconitate[c]"	"s39"	"sa39"	"reactant"	"CDMT000039"	"base"
"r_2305"	"isocitrate[c]"	"s45"	"sa45"	"product"	"CDMT000045"	"base"
"r_0091"	"6-O-phosphono-D-glucono-1,5-lactone[c]"	"s57"	"sa57"	"reactant"	"CDMT000057"	"base"
"r_0091"	"6-phospho-D-gluconate[c]"	"s58"	"sa58"	"product"	"CDMT000058"	"base"
"r_0332"	"2-deoxy-D-ribose[c]"	"s59"	"sa59"	"reactant"	"CDMT000059"	"base"
"r_0332"	"2-deoxy-D-ribose 5-phosphate[c]"	"s60"	"sa60"	"product"	"CDMT000060"	"base"
"r_0466"	"D-glucose 6-phosphate[c]"	"s17"	"sa17"	"reactant"	"CDMT000017"	"base"
"r_0466"	"6-O-phosphono-D-glucono-1,5-lactone[c]"	"s57"	"sa57"	"product"	"CDMT000057"	"base"
"r_0888"	"D-glucose 6-phosphate[c]"	"s17"	"sa17"	"reactant"	"CDMT000017"	"base"
"r_0888"	"D-glucose 1-phosphate[c]"	"s61"	"sa61"	"product"	"CDMT000061"	"base"
"r_0889"	"6-phospho-D-gluconate[c]"	"s58"	"sa58"	"reactant"	"CDMT000058"	"base"
"r_0889"	"D-ribulose 5-phosphate[c]"	"s62"	"sa62"	"product"	"CDMT000062"	"base"
"r_0907"	"alpha-D-ribose 1-phosphate(2-)[c]"	"s63"	"sa63"	"reactant"	"CDMT000063"	"base"
"r_0907"	"ribose-5-phosphate[c]"	"s64"	"sa64"	"product"	"CDMT000064"	"base"
"r_0916"	"ribose-5-phosphate[c]"	"s64"	"sa64"	"reactant"	"CDMT000064"	"base"
"r_0916"	"PRPP[c]"	"s65"	"sa65"	"product"	"CDMT000065"	"base"
"r_0969"	"D-ribose[c]"	"s66"	"sa66"	"reactant"	"CDMT000066"	"base"
"r_0969"	"ribose-5-phosphate[c]"	"s64"	"sa64"	"product"	"CDMT000064"	"base"
"r_0982"	"D-ribulose 5-phosphate[c]"	"s62"	"sa62"	"reactant"	"CDMT000062"	"base"
"r_0982"	"ribose-5-phosphate[c]"	"s64"	"sa64"	"product"	"CDMT000064"	"base"
"r_0984"	"D-ribulose 5-phosphate[c]"	"s62"	"sa62"	"reactant"	"CDMT000062"	"base"
"r_0984"	"D-xylulose 5-phosphate[c]"	"s67"	"sa67"	"product"	"CDMT000067"	"base"
"r_1048"	"glyceraldehyde 3-phosphate[c]"	"s16"	"sa16"	"reactant"	"CDMT000016"	""
"r_1048"	"sedoheptulose 7-phosphate[c]"	"s23"	"sa23"	"reactant"	"CDMT000023"	"base"
"r_1048"	"D-erythrose 4-phosphate[c]"	"s30"	"sa30"	"product"	"CDMT000030"	""
"r_1048"	"D-fructose 6-phosphate[c]"	"s15"	"sa15"	"product"	"CDMT000015"	"base"
"r_1049"	"D-xylulose 5-phosphate[c]"	"s67"	"sa67"	"reactant"	"CDMT000067"	"base"
"r_1049"	"ribose-5-phosphate[c]"	"s64"	"sa64"	"reactant"	"CDMT000064"	""
"r_1049"	"glyceraldehyde 3-phosphate[c]"	"s16"	"sa16"	"product"	"CDMT000016"	""
"r_1049"	"sedoheptulose 7-phosphate[c]"	"s23"	"sa23"	"product"	"CDMT000023"	"base"
"r_1050"	"D-erythrose 4-phosphate[c]"	"s30"	"sa30"	"reactant"	"CDMT000030"	""
"r_1050"	"D-xylulose 5-phosphate[c]"	"s67"	"sa67"	"reactant"	"CDMT000067"	"base"
"r_1050"	"D-fructose 6-phosphate[c]"	"s15"	"sa15"	"product"	"CDMT000015"	"base"
"r_1050"	"glyceraldehyde 3-phosphate[c]"	"s16"	"sa16"	"product"	"CDMT000016"	""
"r_1112"	"2-oxoglutarate[c]"	"s46"	"sa46"	"reactant"	"CDMT000046"	""
"r_1112"	"citrate[m]"	"s34"	"sa34"	"reactant"	"CDMT000034"	"base"
"r_1112"	"2-oxoglutarate[m]"	"s44"	"sa44"	"product"	"CDMT000044"	""
"r_1112"	"citrate[c]"	"s38"	"sa38"	"product"	"CDMT000038"	"base"
"r_1126"	"(S)-malate[m]"	"s41"	"sa41"	"reactant"	"CDMT000041"	""
"r_1126"	"citrate[c]"	"s38"	"sa38"	"reactant"	"CDMT000038"	"base"
"r_1126"	"(S)-malate[c]"	"s43"	"sa43"	"product"	"CDMT000043"	""
"r_1126"	"citrate[m]"	"s34"	"sa34"	"product"	"CDMT000034"	"base"
"r_1128"	"citrate[c]"	"s38"	"sa38"	"reactant"	"CDMT000038"	"base"
"r_1128"	"isocitrate[m]"	"s32"	"sa32"	"reactant"	"CDMT000032"	""
"r_1128"	"citrate[m]"	"s34"	"sa34"	"product"	"CDMT000034"	"base"
"r_1128"	"isocitrate[c]"	"s45"	"sa45"	"product"	"CDMT000045"	""
"r_1226"	"(S)-malate[c]"	"s43"	"sa43"	"reactant"	"CDMT000043"	"base"
"r_1226"	"(S)-malate[m]"	"s41"	"sa41"	"product"	"CDMT000041"	"base"
"r_1239"	"oxaloacetate[c]"	"s22"	"sa22"	"reactant"	"CDMT000022"	"base"
"r_1239"	"oxaloacetate[m]"	"s33"	"sa33"	"product"	"CDMT000033"	"base"
"r_2034"	"pyruvate[c]"	"s26"	"sa26"	"reactant"	"CDMT000026"	"base"
"r_2034"	"pyruvate[m]"	"s28"	"sa28"	"product"	"CDMT000028"	"base"
"r_2132"	"(S)-malate[c]"	"s43"	"sa43"	"reactant"	"CDMT000043"	""
"r_2132"	"2-oxoglutarate[m]"	"s44"	"sa44"	"reactant"	"CDMT000044"	"base"
"r_2132"	"(S)-malate[m]"	"s41"	"sa41"	"product"	"CDMT000041"	""
"r_2132"	"2-oxoglutarate[c]"	"s46"	"sa46"	"product"	"CDMT000046"	"base"
"r_1632"	"acetaldehyde[m]"	"s3"	"sa3"	"reactant"	"CDMT00003"	"base"
"r_1632"	"acetaldehyde[c]"	"s2"	"sa2"	"product"	"CDMT00002"	"base"
