"rxnID"	"id"	"species"	"name"	"x"	"y"	"MetaID"
"r_0303"	"sa38"	"s38"	"citrate[c]"	""	""	"CDMT000038"
"r_0303"	"sa39"	"s39"	"cis-aconitate[c]"	""	""	"CDMT000039"
"r_0451"	"sa40"	"s40"	"fumarate[m]"	""	""	"CDMT000040"
"r_0451"	"sa41"	"s41"	"(S)-malate[m]"	""	""	"CDMT000041"
"r_0452"	"sa42"	"s42"	"fumarate[c]"	""	""	"CDMT000042"
"r_0452"	"sa43"	"s43"	"(S)-malate[c]"	""	""	"CDMT000043"
"r_0658"	"sa44"	"s44"	"2-oxoglutarate[m]"	""	""	"CDMT000044"
"r_0659"	"sa45"	"s45"	"isocitrate[c]"	""	""	"CDMT000045"
"r_0659"	"sa46"	"s46"	"2-oxoglutarate[c]"	""	""	"CDMT000046"
"r_0661"	"sa47"	"s47"	"isocitrate[p]"	""	""	"CDMT000047"
"r_0661"	"sa48"	"s48"	"2-oxoglutarate[p]"	""	""	"CDMT000048"
"r_0715"	"sa49"	"s49"	"(S)-malate[p]"	""	""	"CDMT000049"
"r_0831"	"sa50"	"s50"	"S(8)-succinyldihydrolipoamide[m]"	""	""	"CDMT000050"
"r_0831"	"sa51"	"s51"	"dihydrolipoamide[m]"	""	""	"CDMT000051"
"r_0831"	"sa52"	"s52"	"succinyl-CoA[m]"	""	""	"CDMT000052"
"r_0832"	"sa53"	"s53"	"lipoamide[m]"	""	""	"CDMT000053"
"r_1021"	"sa54"	"s54"	"succinate[m]"	""	""	"CDMT000054"
"r_1021"	"sa55"	"s55"	"ubiquinone-6[m]"	""	""	"CDMT000055"
"r_1021"	"sa56"	"s56"	"ubiquinol-6[m]"	""	""	"CDMT000056"
"r_0091"	"sa57"	"s57"	"6-O-phosphono-D-glucono-1,5-lactone[c]"	""	""	"CDMT000057"
"r_0091"	"sa58"	"s58"	"6-phospho-D-gluconate[c]"	""	""	"CDMT000058"
"r_0332"	"sa59"	"s59"	"2-deoxy-D-ribose[c]"	""	""	"CDMT000059"
"r_0332"	"sa60"	"s60"	"2-deoxy-D-ribose 5-phosphate[c]"	""	""	"CDMT000060"
"r_0888"	"sa61"	"s61"	"D-glucose 1-phosphate[c]"	""	""	"CDMT000061"
"r_0889"	"sa62"	"s62"	"D-ribulose 5-phosphate[c]"	""	""	"CDMT000062"
"r_0907"	"sa63"	"s63"	"alpha-D-ribose 1-phosphate(2-)[c]"	""	""	"CDMT000063"
"r_0907"	"sa64"	"s64"	"ribose-5-phosphate[c]"	""	""	"CDMT000064"
"r_0916"	"sa65"	"s65"	"PRPP[c]"	""	""	"CDMT000065"
"r_0969"	"sa66"	"s66"	"D-ribose[c]"	""	""	"CDMT000066"
"r_0984"	"sa67"	"s67"	"D-xylulose 5-phosphate[c]"	""	""	"CDMT000067"
