"gene"	"gene_simple"	"SGD_ID"	"gene_type"	"exist_s288c"	"GEM"
"1401-augustus_masked-CQS_4-6420"	"augustus_masked-CQS_4-6420"	NA	"Variable"	"NA"	"NO"
"1402-augustus_masked-BBM_6-7261"	"augustus_masked-BBM_6-7261"	NA	"Variable"	"NA"	"NO"
"1403-augustus_masked-AFL_5-6754"	"augustus_masked-AFL_5-6754"	NA	"Variable"	"NA"	"NO"
"1404-augustus_masked-AID_2-6352"	"augustus_masked-AID_2-6352"	NA	"Variable"	"NA"	"NO"
"1405-augustus_masked-CQS_4-6442"	"augustus_masked-CQS_4-6442"	NA	"Variable"	"NA"	"NO"
"1406-augustus_masked-AQA_4-7358"	"augustus_masked-AQA_4-7358"	NA	"Variable"	"NA"	"NO"
"1407-augustus_masked-CGD_5-5424"	"augustus_masked-CGD_5-5424"	NA	"Variable"	"NA"	"NO"
"1408-augustus_masked-CPL_4-15064"	"augustus_masked-CPL_4-15064"	NA	"Variable"	"NA"	"NO"
"1409-augustus_masked-CPN_4-15749"	"augustus_masked-CPN_4-15749"	NA	"Variable"	"NA"	"NO"
"1410-augustus_masked-CPN_4-15749"	"augustus_masked-CPN_4-15749"	NA	"Variable"	"NA"	"NO"
"1411-augustus_masked-CCL_1-4471"	"augustus_masked-CCL_1-4471"	NA	"Variable"	"NA"	"NO"
"1412-augustus_masked-CPN_4-15749"	"augustus_masked-CPN_4-15749"	NA	"Variable"	"NA"	"NO"
"1413-augustus_masked-AID_2-6220"	"augustus_masked-AID_2-6220"	NA	"Variable"	"NA"	"NO"
"1414-augustus_masked-AID_2-6220"	"augustus_masked-AID_2-6220"	NA	"Variable"	"NA"	"NO"
"1415-augustus_masked-BBM_6-6977"	"augustus_masked-BBM_6-6977"	NA	"Variable"	"NA"	"NO"
"1416-augustus_masked-BBM_6-6977"	"augustus_masked-BBM_6-6977"	NA	"Variable"	"NA"	"NO"
"1417-augustus_masked-CPG_1-7550"	"augustus_masked-CPG_1-7550"	NA	"Variable"	"NA"	"NO"
"1418-augustus_masked-CPG_1-7550"	"augustus_masked-CPG_1-7550"	NA	"Variable"	"NA"	"NO"
"1419-augustus_masked-CPG_1-7550"	"augustus_masked-CPG_1-7550"	NA	"Variable"	"NA"	"NO"
"1420-augustus_masked-AQA_4-7362"	"augustus_masked-AQA_4-7362"	NA	"Variable"	"NA"	"NO"
"1421-augustus_masked-CPQ_4-15088"	"augustus_masked-CPQ_4-15088"	NA	"Variable"	"NA"	"NO"
"1422-augustus_masked-CPR_4-17889"	"augustus_masked-CPR_4-17889"	NA	"Variable"	"NA"	"NO"
"1423-augustus_masked-CPR_4-17889"	"augustus_masked-CPR_4-17889"	NA	"Variable"	"NA"	"NO"
"1424-augustus_masked-CPR_4-17889"	"augustus_masked-CPR_4-17889"	NA	"Variable"	"NA"	"NO"
"1425-augustus_masked-AHB_2-7036"	"augustus_masked-AHB_2-7036"	NA	"Variable"	"NA"	"NO"
"1426-augustus_masked-AHL_3-8012"	"augustus_masked-AHL_3-8012"	NA	"Variable"	"NA"	"NO"
"1427-augustus_masked-AHL_3-8012"	"augustus_masked-AHL_3-8012"	NA	"Variable"	"NA"	"NO"
"1428-augustus_masked-AHL_3-8012"	"augustus_masked-AHL_3-8012"	NA	"Variable"	"NA"	"NO"
"1429-augustus_masked-AHL_3-8012"	"augustus_masked-AHL_3-8012"	NA	"Variable"	"NA"	"NO"
"1430-augustus_masked-CPQ_4-15272"	"augustus_masked-CPQ_4-15272"	NA	"Variable"	"NA"	"NO"
"1431-augustus_masked-CPQ_4-15272"	"augustus_masked-CPQ_4-15272"	NA	"Variable"	"NA"	"NO"
"1432-augustus_masked-CPQ_4-15272"	"augustus_masked-CPQ_4-15272"	NA	"Variable"	"NA"	"NO"
"1433-augustus_masked-CPQ_4-15272"	"augustus_masked-CPQ_4-15272"	NA	"Variable"	"NA"	"NO"
"1434-augustus_masked-CPQ_4-15272"	"augustus_masked-CPQ_4-15272"	NA	"Variable"	"NA"	"NO"
"1435-maker-CFC_2-43056"	"maker-CFC_2-43056"	NA	"Variable"	"NA"	"NO"
"1436-maker-BDE_8-15861"	"maker-BDE_8-15861"	NA	"Variable"	"NA"	"NO"
"1437-maker-BDP_5-11439"	"maker-BDP_5-11439"	NA	"Variable"	"NA"	"NO"
"1438-maker-YBR-7232"	"maker-YBR-7232"	NA	"Variable"	"NA"	"NO"
"1439-maker-AHM_1-7103"	"maker-AHM_1-7103"	NA	"Variable"	"NA"	"NO"
"1440-maker-AHM_1-7103"	"maker-AHM_1-7103"	NA	"Variable"	"NA"	"NO"
"1441-maker-CLM_4-7921"	"maker-CLM_4-7921"	NA	"Variable"	"NA"	"NO"
"1442-maker-CDK_4-10433"	"maker-CDK_4-10433"	NA	"Variable"	"NA"	"NO"
"1445-maker-AMD_5-6572"	"maker-AMD_5-6572"	NA	"Variable"	"NA"	"NO"
"1446-maker-CDM_4-7429"	"maker-CDM_4-7429"	NA	"Variable"	"NA"	"NO"
"1447-maker-CPQ_4-15250"	"maker-CPQ_4-15250"	NA	"Variable"	"NA"	"NO"
"1448-maker-BBM_6-7237"	"maker-BBM_6-7237"	NA	"Variable"	"NA"	"NO"
"1449-maker-AEF_8-5122"	"maker-AEF_8-5122"	NA	"Variable"	"NA"	"NO"
"1450-maker-ANM_2-42651"	"maker-ANM_2-42651"	NA	"Variable"	"NA"	"NO"
"1451-maker-AMH_5-6637"	"maker-AMH_5-6637"	NA	"Variable"	"NA"	"NO"
"1452-maker-YCR-6505"	"maker-YCR-6505"	NA	"Variable"	"NA"	"NO"
"1453-maker-ACG_7-9645"	"maker-ACG_7-9645"	NA	"Variable"	"NA"	"NO"
"1454-maker-BDK_5-8644"	"maker-BDK_5-8644"	NA	"Variable"	"NA"	"NO"
"1455-maker-BTT_3-19676"	"maker-BTT_3-19676"	NA	"Variable"	"NA"	"NO"
"1456-maker-ATQ_7-5187"	"maker-ATQ_7-5187"	NA	"Variable"	"NA"	"NO"
"1457-maker-CCH_4-6793"	"maker-CCH_4-6793"	NA	"Variable"	"NA"	"NO"
"1458-maker-CPL_4-15597"	"maker-CPL_4-15597"	NA	"Variable"	"NA"	"NO"
"1459-maker-AMA_5-10173"	"maker-AMA_5-10173"	NA	"Variable"	"NA"	"NO"
"1460-maker-AMA_5-10173"	"maker-AMA_5-10173"	NA	"Variable"	"NA"	"NO"
"1461-maker-AMA_5-10173"	"maker-AMA_5-10173"	NA	"Variable"	"NA"	"NO"
"1462-maker-CPM_4-14876"	"maker-CPM_4-14876"	NA	"Variable"	"NA"	"NO"
"1463-maker-CCQ_1-5741"	"maker-CCQ_1-5741"	NA	"Variable"	"NA"	"NO"
"1464-maker-BRG_4-12215"	"maker-BRG_4-12215"	NA	"Variable"	"NA"	"NO"
"1465-maker-BHI_4-7563"	"maker-BHI_4-7563"	NA	"Variable"	"NA"	"NO"
"1466-maker-ACQ_8-4774"	"maker-ACQ_8-4774"	NA	"Variable"	"NA"	"NO"
"1467-maker-ABM_5-4633"	"maker-ABM_5-4633"	NA	"Variable"	"NA"	"NO"
"1468-maker-BDG_5-19334"	"maker-BDG_5-19334"	NA	"Variable"	"NA"	"NO"
"1469-maker-API_4-23720"	"maker-API_4-23720"	NA	"Variable"	"NA"	"NO"
"1470-maker-BGL_1-18155"	"maker-BGL_1-18155"	NA	"Variable"	"NA"	"NO"
"1471-maker-CGE_5-5798"	"maker-CGE_5-5798"	NA	"Variable"	"NA"	"NO"
"1472-maker-AND_4-5595"	"maker-AND_4-5595"	NA	"Variable"	"NA"	"NO"
"1473-maker-CET_4-8407"	"maker-CET_4-8407"	NA	"Variable"	"NA"	"NO"
"1474-maker-CFC_2-43241"	"maker-CFC_2-43241"	NA	"Variable"	"NA"	"NO"
"1475-maker-AIE_1-5046"	"maker-AIE_1-5046"	NA	"Variable"	"NA"	"NO"
"1476-maker-AID_2-6438"	"maker-AID_2-6438"	NA	"Variable"	"NA"	"NO"
"1477-maker-CGH_5-16559"	"maker-CGH_5-16559"	NA	"Variable"	"NA"	"NO"
"1478-maker-BAG_6-6340"	"maker-BAG_6-6340"	NA	"Variable"	"NA"	"NO"
"1479-maker-AHG_3-5017"	"maker-AHG_3-5017"	NA	"Variable"	"NA"	"NO"
"1480-maker-CPQ_4-15294"	"maker-CPQ_4-15294"	NA	"Variable"	"NA"	"NO"
"1481-maker-CPC_4-27355"	"maker-CPC_4-27355"	NA	"Variable"	"NA"	"NO"
"1482-maker-BRK_4-4772"	"maker-BRK_4-4772"	NA	"Variable"	"NA"	"NO"
"1483-maker-AHF_3-9619"	"maker-AHF_3-9619"	NA	"Variable"	"NA"	"NO"
"1484-maker-CMG_6-37743"	"maker-CMG_6-37743"	NA	"Variable"	"NA"	"NO"
"1485-maker-CMG_6-37743"	"maker-CMG_6-37743"	NA	"Variable"	"NA"	"NO"
"1487-maker-AEL_3-25454"	"maker-AEL_3-25454"	NA	"Variable"	"NA"	"NO"
"1488-maker-AEL_3-25454"	"maker-AEL_3-25454"	NA	"Variable"	"NA"	"NO"
"1489-maker-BTE_3-67629"	"maker-BTE_3-67629"	NA	"Variable"	"NA"	"NO"
"1490-maker-BNB_4-11386"	"maker-BNB_4-11386"	NA	"Variable"	"NA"	"NO"
"1491-maker-BPL_2-7584"	"maker-BPL_2-7584"	NA	"Variable"	"NA"	"NO"
"1492-maker-BEE_6-12017"	"maker-BEE_6-12017"	NA	"Variable"	"NA"	"NO"
"1493-maker-BEE_6-12017"	"maker-BEE_6-12017"	NA	"Variable"	"NA"	"NO"
"1494-maker-BEE_6-12017"	"maker-BEE_6-12017"	NA	"Variable"	"NA"	"NO"
"1495-maker-ACH_7-12998"	"maker-ACH_7-12998"	NA	"Variable"	"NA"	"NO"
"1496-maker-CHB_4-9987"	"maker-CHB_4-9987"	NA	"Variable"	"NA"	"NO"
"1497-maker-CDN_4-6216"	"maker-CDN_4-6216"	NA	"Variable"	"NA"	"NO"
"1498-maker-CDN_4-6216"	"maker-CDN_4-6216"	NA	"Variable"	"NA"	"NO"
"1499-maker-BVC_6-19502"	"maker-BVC_6-19502"	NA	"Variable"	"NA"	"NO"
"1500-maker-CPI_4-15903"	"maker-CPI_4-15903"	NA	"Variable"	"NA"	"NO"
"1501-maker-YDB-17846"	"maker-YDB-17846"	NA	"Variable"	"NA"	"NO"
"1502-maker-BEA_6-11925"	"maker-BEA_6-11925"	NA	"Variable"	"NA"	"NO"
"1503-maker-CEQ_4-7370"	"maker-CEQ_4-7370"	NA	"Variable"	"NA"	"NO"
"1504-maker-AIE_1-5044"	"maker-AIE_1-5044"	NA	"Variable"	"NA"	"NO"
"1505-maker-ANL_2-46428"	"maker-ANL_2-46428"	NA	"Variable"	"NA"	"NO"
"1506-maker-AMH_5-6583"	"maker-AMH_5-6583"	NA	"Variable"	"NA"	"NO"
"1507-maker-APS_4-8484"	"maker-APS_4-8484"	NA	"Variable"	"NA"	"NO"
"1508-maker-AVB_8-8060"	"maker-AVB_8-8060"	NA	"Variable"	"NA"	"NO"
"1509-maker-AVT_6-51832"	"maker-AVT_6-51832"	NA	"Variable"	"NA"	"NO"
"1510-maker-YCJ-7201"	"maker-YCJ-7201"	NA	"Variable"	"NA"	"NO"
"1511-maker-ABP_6-5400"	"maker-ABP_6-5400"	NA	"Variable"	"NA"	"NO"
"1512-maker-ABP_6-5400"	"maker-ABP_6-5400"	NA	"Variable"	"NA"	"NO"
"1513-maker-ABP_6-5400"	"maker-ABP_6-5400"	NA	"Variable"	"NA"	"NO"
"1514-maker-CDL_3-6404"	"maker-CDL_3-6404"	NA	"Variable"	"NA"	"NO"
"1515-maker-CPR_4-17889"	"maker-CPR_4-17889"	NA	"Variable"	"NA"	"NO"
"1516-maker-YAN-14225"	"maker-YAN-14225"	NA	"Variable"	"NA"	"NO"
"1517-maker-ALI_5-15258"	"maker-ALI_5-15258"	NA	"Variable"	"NA"	"NO"
"1518-maker-ALI_5-15258"	"maker-ALI_5-15258"	NA	"Variable"	"NA"	"NO"
"1519-maker-BTG_3-6441"	"maker-BTG_3-6441"	NA	"Variable"	"NA"	"NO"
"1520-maker-CGH_5-16625"	"maker-CGH_5-16625"	NA	"Variable"	"NA"	"NO"
"1521-maker-BAG_6-6327"	"maker-BAG_6-6327"	NA	"Variable"	"NA"	"NO"
"1522-maker-BRK_4-4809"	"maker-BRK_4-4809"	NA	"Variable"	"NA"	"NO"
"1523-maker-BRK_4-4809"	"maker-BRK_4-4809"	NA	"Variable"	"NA"	"NO"
"1524-maker-ARH_5-11102"	"maker-ARH_5-11102"	NA	"Variable"	"NA"	"NO"
"1525-maker-CQS_4-6365"	"maker-CQS_4-6365"	NA	"Variable"	"NA"	"NO"
"1526-maker-CQS_4-6365"	"maker-CQS_4-6365"	NA	"Variable"	"NA"	"NO"
"1527-maker-CDE_2-5632"	"maker-CDE_2-5632"	NA	"Variable"	"NA"	"NO"
"1528-maker-CNT_4-21642"	"maker-CNT_4-21642"	NA	"Variable"	"NA"	"NO"
"1529-maker-ALI_5-15225"	"maker-ALI_5-15225"	NA	"Variable"	"NA"	"NO"
"1530-maker-BAM_7-7205"	"maker-BAM_7-7205"	NA	"Variable"	"NA"	"NO"
"1531-maker-CGD_5-5416"	"maker-CGD_5-5416"	NA	"Variable"	"NA"	"NO"
"1532-maker-CCR_1-6225"	"maker-CCR_1-6225"	NA	"Variable"	"NA"	"NO"
"1533-maker-ASC_6-27146"	"maker-ASC_6-27146"	NA	"Variable"	"NA"	"NO"
"1534-maker-BDM_5-23139"	"maker-BDM_5-23139"	NA	"Variable"	"NA"	"NO"
"1535-maker-BDM_5-23139"	"maker-BDM_5-23139"	NA	"Variable"	"NA"	"NO"
"1536-maker-BDM_5-23139"	"maker-BDM_5-23139"	NA	"Variable"	"NA"	"NO"
"1537-maker-YCY-8051"	"maker-YCY-8051"	NA	"Variable"	"NA"	"NO"
"1538-maker-YCY-8051"	"maker-YCY-8051"	NA	"Variable"	"NA"	"NO"
"1539-maker-CIL_2-24097"	"maker-CIL_2-24097"	NA	"Variable"	"NA"	"NO"
"1540-maker-CPR_4-17794"	"maker-CPR_4-17794"	NA	"Variable"	"NA"	"NO"
"1541-maker-BEN_7-20201"	"maker-BEN_7-20201"	NA	"Variable"	"NA"	"NO"
"1542-maker-BDM_5-23139"	"maker-BDM_5-23139"	NA	"Variable"	"NA"	"NO"
"1543-maker-YCB-8071"	"maker-YCB-8071"	NA	"Variable"	"NA"	"NO"
"1544-maker-BAP_7-6884"	"maker-BAP_7-6884"	NA	"Variable"	"NA"	"NO"
"1545-maker-AMH_5-6251"	"maker-AMH_5-6251"	NA	"Variable"	"NA"	"NO"
"1546-maker-CPG_1-7609"	"maker-CPG_1-7609"	NA	"Variable"	"NA"	"NO"
"1547-maker-YCY-8126"	"maker-YCY-8126"	NA	"Variable"	"NA"	"NO"
"1548-maker-CPL_4-15494"	"maker-CPL_4-15494"	NA	"Variable"	"NA"	"NO"
"1549-maker-CDT_2-5317"	"maker-CDT_2-5317"	NA	"Variable"	"NA"	"NO"
"1550-maker-CKN_4-32870"	"maker-CKN_4-32870"	NA	"Variable"	"NA"	"NO"
"1551-maker-CMT_8-15862"	"maker-CMT_8-15862"	NA	"Variable"	"NA"	"NO"
"1552-maker-AQA_4-7239"	"maker-AQA_4-7239"	NA	"Variable"	"NA"	"NO"
"1553-maker-CGD_5-5418"	"maker-CGD_5-5418"	NA	"Variable"	"NA"	"NO"
"1554-maker-CMQ_8-5693"	"maker-CMQ_8-5693"	NA	"Variable"	"NA"	"NO"
"1555-maker-CMQ_8-5693"	"maker-CMQ_8-5693"	NA	"Variable"	"NA"	"NO"
"1556-maker-AVB_8-8045"	"maker-AVB_8-8045"	NA	"Variable"	"NA"	"NO"
"1557-maker-ATH_3-9260"	"maker-ATH_3-9260"	NA	"Variable"	"NA"	"NO"
"1558-maker-ANH_4-5663"	"maker-ANH_4-5663"	NA	"Variable"	"NA"	"NO"
"1559-maker-ACL_7-7535"	"maker-ACL_7-7535"	NA	"Variable"	"NA"	"NO"
"1560-maker-ACL_7-7535"	"maker-ACL_7-7535"	NA	"Variable"	"NA"	"NO"
"1561-maker-ACL_7-7535"	"maker-ACL_7-7535"	NA	"Variable"	"NA"	"NO"
"1562-maker-ACL_7-7535"	"maker-ACL_7-7535"	NA	"Variable"	"NA"	"NO"
"1563-maker-CQB_6-11660"	"maker-CQB_6-11660"	NA	"Variable"	"NA"	"NO"
"1564-maker-CQS_4-6420"	"maker-CQS_4-6420"	NA	"Variable"	"NA"	"NO"
"1565-maker-AQA_4-7358"	"maker-AQA_4-7358"	NA	"Variable"	"NA"	"NO"
"1566-maker-AQD_4-6575"	"maker-AQD_4-6575"	NA	"Variable"	"NA"	"NO"
"1567-maker-CGV_3-7506"	"maker-CGV_3-7506"	NA	"Variable"	"NA"	"NO"
"1568-maker-AHL_3-8012"	"maker-AHL_3-8012"	NA	"Variable"	"NA"	"NO"
"1569-maker-YBL-9938"	"maker-YBL-9938"	NA	"Variable"	"NA"	"NO"
"1570-maker-CPQ_4-15272"	"maker-CPQ_4-15272"	NA	"Variable"	"NA"	"NO"
"1571-snap_masked-CFC_2-43056"	"snap_masked-CFC_2-43056"	NA	"Variable"	"NA"	"NO"
"1572-snap_masked-CFC_2-43056"	"snap_masked-CFC_2-43056"	NA	"Variable"	"NA"	"NO"
"1573-snap_masked-CPK_4-16846"	"snap_masked-CPK_4-16846"	NA	"Variable"	"NA"	"NO"
"1574-snap_masked-AIE_1-5050"	"snap_masked-AIE_1-5050"	NA	"Variable"	"NA"	"NO"
"1575-snap_masked-BBM_6-7010"	"snap_masked-BBM_6-7010"	NA	"Variable"	"NA"	"NO"
"1576-snap_masked-BBM_6-7010"	"snap_masked-BBM_6-7010"	NA	"Variable"	"NA"	"NO"
"1577-snap_masked-AQA_4-7171"	"snap_masked-AQA_4-7171"	NA	"Variable"	"NA"	"NO"
"1578-snap_masked-CQS_4-6447"	"snap_masked-CQS_4-6447"	NA	"Variable"	"NA"	"NO"
"1579-snap_masked-BMB_1-4633"	"snap_masked-BMB_1-4633"	NA	"Variable"	"NA"	"NO"
"1580-snap_masked-CDT_2-5211"	"snap_masked-CDT_2-5211"	NA	"Variable"	"NA"	"NO"
"1581-snap_masked-CDT_2-5211"	"snap_masked-CDT_2-5211"	NA	"Variable"	"NA"	"NO"
"1582-snap_masked-CDT_2-5331"	"snap_masked-CDT_2-5331"	NA	"Variable"	"NA"	"NO"
"1583-snap_masked-ABB_5-4847"	"snap_masked-ABB_5-4847"	NA	"Variable"	"NA"	"NO"
"1588-snap_masked-YCO-8921"	"snap_masked-YCO-8921"	NA	"Variable"	"NA"	"NO"
"1589-snap_masked-BVG_4-25625"	"snap_masked-BVG_4-25625"	NA	"Variable"	"NA"	"NO"
"1590-snap_masked-CPQ_4-15250"	"snap_masked-CPQ_4-15250"	NA	"Variable"	"NA"	"NO"
"1591-snap_masked-CQA_6-8135"	"snap_masked-CQA_6-8135"	NA	"Variable"	"NA"	"NO"
"1592-snap_masked-YCL-7822"	"snap_masked-YCL-7822"	NA	"Variable"	"NA"	"NO"
"1593-snap_masked-CNH_4-20281"	"snap_masked-CNH_4-20281"	NA	"Variable"	"NA"	"NO"
"1594-snap_masked-AMH_5-6573"	"snap_masked-AMH_5-6573"	NA	"Variable"	"NA"	"NO"
"1595-snap_masked-CEI_2-8878"	"snap_masked-CEI_2-8878"	NA	"Variable"	"NA"	"NO"
"1596-snap_masked-CPM_4-14907"	"snap_masked-CPM_4-14907"	NA	"Variable"	"NA"	"NO"
"1597-snap_masked-ATQ_7-5187"	"snap_masked-ATQ_7-5187"	NA	"Variable"	"NA"	"NO"
"1598-snap_masked-AVB_8-8024"	"snap_masked-AVB_8-8024"	NA	"Variable"	"NA"	"NO"
"1599-snap_masked-BBM_6-7242"	"snap_masked-BBM_6-7242"	NA	"Variable"	"NA"	"NO"
"1600-snap_masked-CPR_4-17880"	"snap_masked-CPR_4-17880"	NA	"Variable"	"NA"	"NO"
"1601-snap_masked-ATV_5-44131"	"snap_masked-ATV_5-44131"	NA	"Variable"	"NA"	"NO"
"1602-snap_masked-CCH_4-6793"	"snap_masked-CCH_4-6793"	NA	"Variable"	"NA"	"NO"
"1603-snap_masked-CCH_4-6793"	"snap_masked-CCH_4-6793"	NA	"Variable"	"NA"	"NO"
"1604-snap_masked-BAH_6-7523"	"snap_masked-BAH_6-7523"	NA	"Variable"	"NA"	"NO"
"1605-snap_masked-CPL_4-15597"	"snap_masked-CPL_4-15597"	NA	"Variable"	"NA"	"NO"
"1606-snap_masked-BBM_6-7244"	"snap_masked-BBM_6-7244"	NA	"Variable"	"NA"	"NO"
"1607-snap_masked-AMH_5-6336"	"snap_masked-AMH_5-6336"	NA	"Variable"	"NA"	"NO"
"1608-snap_masked-AIE_1-5035"	"snap_masked-AIE_1-5035"	NA	"Variable"	"NA"	"NO"
"1609-snap_masked-CPG_1-7486"	"snap_masked-CPG_1-7486"	NA	"Variable"	"NA"	"NO"
"1610-snap_masked-CKF_3-7120"	"snap_masked-CKF_3-7120"	NA	"Variable"	"NA"	"NO"
"1611-snap_masked-CCQ_1-5470"	"snap_masked-CCQ_1-5470"	NA	"Variable"	"NA"	"NO"
"1612-snap_masked-CCQ_1-5470"	"snap_masked-CCQ_1-5470"	NA	"Variable"	"NA"	"NO"
"1613-snap_masked-CPA_4-16966"	"snap_masked-CPA_4-16966"	NA	"Variable"	"NA"	"NO"
"1614-snap_masked-CPN_4-15612"	"snap_masked-CPN_4-15612"	NA	"Variable"	"NA"	"NO"
"1615-snap_masked-CPN_4-15612"	"snap_masked-CPN_4-15612"	NA	"Variable"	"NA"	"NO"
"1616-snap_masked-YCC-11519"	"snap_masked-YCC-11519"	NA	"Variable"	"NA"	"NO"
"1617-snap_masked-AVB_8-7764"	"snap_masked-AVB_8-7764"	NA	"Variable"	"NA"	"NO"
"1618-snap_masked-ABD_5-6706"	"snap_masked-ABD_5-6706"	NA	"Variable"	"NA"	"NO"
"1619-snap_masked-ABD_5-6706"	"snap_masked-ABD_5-6706"	NA	"Variable"	"NA"	"NO"
"1620-snap_masked-ABD_5-6706"	"snap_masked-ABD_5-6706"	NA	"Variable"	"NA"	"NO"
"1621-snap_masked-ABL_5-5136"	"snap_masked-ABL_5-5136"	NA	"Variable"	"NA"	"NO"
"1622-snap_masked-BHI_4-7563"	"snap_masked-BHI_4-7563"	NA	"Variable"	"NA"	"NO"
"1623-snap_masked-AMM_4-6587"	"snap_masked-AMM_4-6587"	NA	"Variable"	"NA"	"NO"
"1624-snap_masked-AHL_3-7762"	"snap_masked-AHL_3-7762"	NA	"Variable"	"NA"	"NO"
"1625-snap_masked-AHL_3-7762"	"snap_masked-AHL_3-7762"	NA	"Variable"	"NA"	"NO"
"1626-snap_masked-AHL_3-7762"	"snap_masked-AHL_3-7762"	NA	"Variable"	"NA"	"NO"
"1627-snap_masked-AQD_4-6879"	"snap_masked-AQD_4-6879"	NA	"Variable"	"NA"	"NO"
"1628-snap_masked-CQS_4-6404"	"snap_masked-CQS_4-6404"	NA	"Variable"	"NA"	"NO"
"1629-snap_masked-CQS_4-6404"	"snap_masked-CQS_4-6404"	NA	"Variable"	"NA"	"NO"
"1630-snap_masked-BBM_6-7046"	"snap_masked-BBM_6-7046"	NA	"Variable"	"NA"	"NO"
"1631-snap_masked-BDG_5-19334"	"snap_masked-BDG_5-19334"	NA	"Variable"	"NA"	"NO"
"1632-snap_masked-AID_2-6456"	"snap_masked-AID_2-6456"	NA	"Variable"	"NA"	"NO"
"1633-snap_masked-AID_2-6456"	"snap_masked-AID_2-6456"	NA	"Variable"	"NA"	"NO"
"1634-snap_masked-AID_2-6456"	"snap_masked-AID_2-6456"	NA	"Variable"	"NA"	"NO"
"1635-snap_masked-CPL_4-15567"	"snap_masked-CPL_4-15567"	NA	"Variable"	"NA"	"NO"
"1636-snap_masked-AID_2-6449"	"snap_masked-AID_2-6449"	NA	"Variable"	"NA"	"NO"
"1637-snap_masked-ABM_5-4457"	"snap_masked-ABM_5-4457"	NA	"Variable"	"NA"	"NO"
"1638-snap_masked-ABM_5-4457"	"snap_masked-ABM_5-4457"	NA	"Variable"	"NA"	"NO"
"1639-snap_masked-CLG_4-26269"	"snap_masked-CLG_4-26269"	NA	"Variable"	"NA"	"NO"
"1640-snap_masked-ARP_2-8812"	"snap_masked-ARP_2-8812"	NA	"Variable"	"NA"	"NO"
"1641-snap_masked-YBR-7258"	"snap_masked-YBR-7258"	NA	"Variable"	"NA"	"NO"
"1642-snap_masked-BCD_8-12448"	"snap_masked-BCD_8-12448"	NA	"Variable"	"NA"	"NO"
"1643-snap_masked-BAN_7-6824"	"snap_masked-BAN_7-6824"	NA	"Variable"	"NA"	"NO"
"1644-snap_masked-BQN_4-5641"	"snap_masked-BQN_4-5641"	NA	"Variable"	"NA"	"NO"
"1645-snap_masked-CPK_4-16853"	"snap_masked-CPK_4-16853"	NA	"Variable"	"NA"	"NO"
"1646-snap_masked-AIE_1-5046"	"snap_masked-AIE_1-5046"	NA	"Variable"	"NA"	"NO"
"1647-snap_masked-BAG_6-6343"	"snap_masked-BAG_6-6343"	NA	"Variable"	"NA"	"NO"
"1648-snap_masked-CGE_5-5812"	"snap_masked-CGE_5-5812"	NA	"Variable"	"NA"	"NO"
"1649-snap_masked-AKB_2-9725"	"snap_masked-AKB_2-9725"	NA	"Variable"	"NA"	"NO"
"1650-snap_masked-ACQ_8-5049"	"snap_masked-ACQ_8-5049"	NA	"Variable"	"NA"	"NO"
"1651-snap_masked-AHG_3-5017"	"snap_masked-AHG_3-5017"	NA	"Variable"	"NA"	"NO"
"1652-snap_masked-AHG_3-5017"	"snap_masked-AHG_3-5017"	NA	"Variable"	"NA"	"NO"
"1653-snap_masked-AHG_3-5017"	"snap_masked-AHG_3-5017"	NA	"Variable"	"NA"	"NO"
"1654-snap_masked-AHG_3-5017"	"snap_masked-AHG_3-5017"	NA	"Variable"	"NA"	"NO"
"1655-snap_masked-BBM_6-7233"	"snap_masked-BBM_6-7233"	NA	"Variable"	"NA"	"NO"
"1656-snap_masked-BGR_1-19009"	"snap_masked-BGR_1-19009"	NA	"Variable"	"NA"	"NO"
"1657-snap_masked-AMC_5-5099"	"snap_masked-AMC_5-5099"	NA	"Variable"	"NA"	"NO"
"1658-snap_masked-CNP_1-20000"	"snap_masked-CNP_1-20000"	NA	"Variable"	"NA"	"NO"
"1659-snap_masked-BDQ_6-13887"	"snap_masked-BDQ_6-13887"	NA	"Variable"	"NA"	"NO"
"1660-snap_masked-BCB_3-14860"	"snap_masked-BCB_3-14860"	NA	"Variable"	"NA"	"NO"
"1661-snap_masked-CMG_6-37743"	"snap_masked-CMG_6-37743"	NA	"Variable"	"NA"	"NO"
"1662-snap_masked-CMG_6-37743"	"snap_masked-CMG_6-37743"	NA	"Variable"	"NA"	"NO"
"1663-snap_masked-CMG_6-37743"	"snap_masked-CMG_6-37743"	NA	"Variable"	"NA"	"NO"
"1664-snap_masked-CMG_6-37743"	"snap_masked-CMG_6-37743"	NA	"Variable"	"NA"	"NO"
"1666-snap_masked-AFB_4-8178"	"snap_masked-AFB_4-8178"	NA	"Variable"	"NA"	"NO"
"1667-snap_masked-BMV_2-11488"	"snap_masked-BMV_2-11488"	NA	"Variable"	"NA"	"NO"
"1668-snap_masked-AEL_3-25454"	"snap_masked-AEL_3-25454"	NA	"Variable"	"NA"	"NO"
"1669-snap_masked-BEE_6-12017"	"snap_masked-BEE_6-12017"	NA	"Variable"	"NA"	"NO"
"1670-snap_masked-BEE_6-12017"	"snap_masked-BEE_6-12017"	NA	"Variable"	"NA"	"NO"
